  [2022-05-06 16:10:18,062], , [restartedMain], user-management-service, INFO  DevToolsPropertyDefaultsPostProcessor logTo | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:13:27,083], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, WARN  PoolBase isConnectionAlive | HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@39ed3ca4 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:13:27,133], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, WARN  PoolBase isConnectionAlive | HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@89497c (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:13:32,644], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | END of LoginUserRepo.findByUserIdOrMobile
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:13:32,649], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of LoginUserRepo.findByUserIdOrMobile :: 8707 ms
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:16:05,178], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Start of UserHistoryRepo.checkLastThreePassword
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:16:06,301], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | END of UserHistoryRepo.checkLastThreePassword
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:16:06,307], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of UserHistoryRepo.checkLastThreePassword :: 1145 ms
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:16:25,848], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Start of AuditServiceImpl.auditloginService
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:16:27,620], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Start of JpaRepository.saveAndFlush
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:16:29,526], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | END of JpaRepository.saveAndFlush
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:16:29,579], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of JpaRepository.saveAndFlush :: 1956 ms
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:16:29,607], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | END of AuditServiceImpl.auditloginService
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:16:29,626], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of AuditServiceImpl.auditloginService :: 3779 ms
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:16:35,550], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoginServiceImpl userChangePasswordService | Reset the new password and logout the user
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:16:39,059], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Start of LoginUserRepo.resetPassword
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:16:39,775], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | END of LoginUserRepo.resetPassword
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:16:39,817], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of LoginUserRepo.resetPassword :: 758 ms
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:04,186], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Start of RegistrationRepo.findDoctorDetailsByUserID
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:05,287], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | END of RegistrationRepo.findDoctorDetailsByUserID
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:05,321], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of RegistrationRepo.findDoctorDetailsByUserID :: 1136 ms
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:13,193], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CrudRepository.save
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:14,659], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | END of CrudRepository.save
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:14,689], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CrudRepository.save :: 1496 ms
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:20,412], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Start of DoctorMstrRepo.findByDmdUserId
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:21,203], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | END of DoctorMstrRepo.findByDmdUserId
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:21,224], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of DoctorMstrRepo.findByDmdUserId :: 814 ms
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:23,453], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CrudRepository.save
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:24,139], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | END of CrudRepository.save
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:24,162], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CrudRepository.save :: 709 ms
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:25,498], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoginServiceImpl userChangePasswordService | User new password change : Success
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:28,996], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoginServiceImpl userChangePasswordService | Delete the token from DB
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:30,295], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Start of LoginUserRepo.findByUserId
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:31,065], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | END of LoginUserRepo.findByUserId
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:31,103], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of LoginUserRepo.findByUserId :: 808 ms
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:31,198], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Start of JpaRepository.saveAndFlush
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:31,822], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | END of JpaRepository.saveAndFlush
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:31,873], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of JpaRepository.saveAndFlush :: 675 ms
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:31,894], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoginServiceImpl saveUserToHistory | Saved user Data to user history
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:33,230], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoginServiceImpl userChangePasswordService | Returning response User password Reset
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:36,301], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | END of LoginServiceImpl.userChangePasswordService
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:36,307], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of LoginServiceImpl.userChangePasswordService :: 389026 ms
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:36,382], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | END of LoginController.userPasswordChange
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:36,383], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of LoginController.userPasswordChange :: 389168 ms
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:36,583], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomResponseBodyAdvice.supports
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:36,608], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomResponseBodyAdvice.supports
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:36,609], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CustomResponseBodyAdvice.supports :: 26 ms
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:36,613], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomResponseBodyAdvice.beforeBodyWrite
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:36,616], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomResponseBodyAdvice.beforeBodyWrite
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:36,616], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CustomResponseBodyAdvice.beforeBodyWrite :: 3 ms
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:36,752], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomInterceptor.postHandle
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:36,753], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomInterceptor.postHandle
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:36,754], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CustomInterceptor.postHandle :: 3 ms
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:36,772], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomInterceptor.afterCompletion
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:36,774], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomInterceptor.afterCompletion
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:17:36,775], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CustomInterceptor.afterCompletion :: 3 ms
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:19:14,437], , [http-nio-7072-exec-5], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomInterceptor.preHandle
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:19:14,439], , [http-nio-7072-exec-5], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomInterceptor.preHandle
0df2f51790ad2973 0df2f51790ad2973 [2022-05-06 16:19:14,439], , [http-nio-7072-exec-5], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CustomInterceptor.preHandle :: 2 ms
